transaction_id,transaction_date,amount,payment_method,customer_id,product_id,Date_ID
1,4/15/2024,4,Cash,853,907,753
2,6/25/2024,5,Gift,1358,455,524
3,3/19/2024,5,Cash,1304,277,256
4,12/15/2023,3,Gift,1804,975,31
5,2/18/2024,5,Gift,356,656,903
6,7/3/2024,4,Debit Card,509,173,371
7,3/1/2024,3,Debit Card,1504,616,153
8,1/22/2024,5,Debit Card,1857,124,185
9,10/18/2023,3,Gift,791,752,981
10,5/23/2024,4,Gift,868,281,275
11,7/14/2024,2,Gift,811,695,508
12,12/4/2023,4,Cash,105,742,66
13,1/14/2024,5,Gift,544,345,11
14,5/2/2024,1,Gift,1796,349,229
15,9/22/2024,4,AutopayMobile Payment,1901,323,377
16,3/24/2024,1,Cash,1472,332,854
17,9/6/2024,1,,759,974,344
18,3/23/2024,4,Gift,1608,843,2
19,,3,Credit Card,1200,456,935
20,10/25/2023,5,Cash,134,817,145
21,1/30/2024,1,AutopayMobile Payment,173,324,823
22,11/16/2023,4,Debit Card,1274,918,447
23,3/13/2024,5,Cash,1230,446,483
24,9/5/2024,2,Cash,420,200,858
25,,1,Cash,1324,321,120
26,6/21/2024,1,Debit Card,556,885,766
27,6/15/2024,1,AutopayMobile Payment,1046,328,53
28,4/6/2024,3,Cash,254,735,38
29,2/13/2024,2,AutopayMobile Payment,1763,947,195
30,5/24/2024,3,Cash,626,653,611
31,1/25/2024,2,Debit Card,1794,481,484
32,12/21/2023,1,Gift,853,762,994
33,2/27/2024,1,AutopayMobile Payment,1692,483,355
34,3/11/2024,1,AutopayMobile Payment,1980,256,136
35,10/15/2023,1,AutopayMobile Payment,959,889,346
36,4/30/2024,4,Cash,788,51,32
37,8/21/2024,2,Credit Card,246,206,552
38,3/10/2024,2,Credit Card,1413,200,934
39,6/29/2024,2,Debit Card,1601,855,815
40,4/7/2024,3,Credit Card,1877,972,549
41,,1,Gift,1623,659,762
42,11/6/2023,4,Gift,21,365,670
43,5/3/2024,3,Debit Card,1977,16,51
44,2/24/2024,5,Debit Card,1906,51,372
45,,2,Gift,746,101,76
46,3/25/2024,2,Gift,1626,256,254
47,3/3/2024,3,Credit Card,1024,926,553
48,3/31/2024,4,,1903,771,380
49,8/21/2024,1,AutopayMobile Payment,1644,22,124
50,10/23/2023,4,Cash,1592,62,600
51,5/17/2024,5,Gift,179,727,703
52,2/25/2024,2,Credit Card,1441,261,601
53,12/19/2023,1,Debit Card,624,273,189
54,2/5/2024,,Gift,969,669,355
55,7/23/2024,3,AutopayMobile Payment,1985,457,245
56,8/15/2024,1,Debit Card,496,71,94
57,1/26/2024,3,AutopayMobile Payment,18,380,541
58,6/3/2024,3,AutopayMobile Payment,679,465,74
59,11/21/2023,4,Cash,730,371,734
60,5/30/2024,2,Cash,822,374,407
61,8/11/2024,5,Credit Card,417,485,899
62,2/4/2024,5,Cash,1756,829,493
63,4/10/2024,4,Credit Card,621,402,741
64,7/6/2024,5,Cash,964,222,933
65,8/14/2024,5,AutopayMobile Payment,1955,232,660
66,7/14/2024,5,Gift,665,323,922
67,11/9/2023,2,AutopayMobile Payment,139,348,126
68,1/18/2024,1,AutopayMobile Payment,1493,456,111
69,3/25/2024,3,Debit Card,766,931,253
70,3/28/2024,3,Gift,1164,621,215
71,1/9/2024,1,AutopayMobile Payment,1412,756,37
72,2/17/2024,1,Cash,834,550,117
73,12/4/2023,1,Debit Card,591,354,36
74,6/29/2024,3,Gift,2000,167,828
75,7/19/2024,3,Credit Card,282,474,867
76,1/6/2024,2,Cash,666,635,677
77,12/23/2023,3,AutopayMobile Payment,1763,69,193
78,6/9/2024,5,Credit Card,1801,340,534
79,9/21/2024,5,Gift,1758,634,877
80,7/16/2024,4,Debit Card,703,344,642
81,10/2/2023,2,AutopayMobile Payment,1514,35,840
82,1/18/2024,2,Credit Card,28,487,648
83,12/14/2023,4,,926,126,359
84,6/7/2024,4,AutopayMobile Payment,1856,122,157
85,10/24/2023,5,Debit Card,835,71,936
86,11/13/2023,1,Cash,873,985,665
87,4/14/2024,3,Credit Card,1352,777,112
88,9/11/2024,4,Cash,1115,332,167
89,6/2/2024,4,Gift,1081,18,32
90,6/28/2024,4,AutopayMobile Payment,389,368,975
91,1/5/2024,4,Gift,535,368,783
92,3/3/2024,3,Debit Card,740,168,839
93,3/10/2024,3,Credit Card,93,573,621
94,12/7/2023,2,Credit Card,897,831,280
95,6/7/2024,2,Cash,410,875,88
96,6/16/2024,5,Cash,764,25,756
97,5/31/2024,1,Debit Card,1662,445,428
98,12/23/2023,5,Cash,1343,753,367
99,1/9/2024,1,Credit Card,603,887,342
100,8/8/2024,5,Debit Card,1133,917,660
101,1/13/2024,3,Debit Card,820,135,861
102,5/4/2024,5,Credit Card,116,334,555
103,11/26/2023,1,AutopayMobile Payment,437,441,992
104,1/12/2024,1,AutopayMobile Payment,853,777,731
105,6/8/2024,4,Debit Card,646,603,788
106,5/25/2024,1,Gift,1330,222,400
107,5/25/2024,1,Gift,1496,652,577
108,1/17/2024,5,Credit Card,547,595,995
109,9/16/2024,3,Debit Card,331,311,124
110,9/6/2024,1,Debit Card,1775,352,652
111,12/10/2023,1,Credit Card,1451,80,230
112,1/7/2024,2,Debit Card,1343,500,287
113,11/25/2023,4,Gift,336,203,716
114,5/2/2024,2,Debit Card,524,52,874
115,11/30/2023,5,Gift,832,178,646
116,7/15/2024,3,Debit Card,60,630,606
117,7/21/2024,5,Debit Card,1863,202,939
118,9/2/2024,1,Credit Card,1260,976,819
119,11/15/2023,5,Gift,1595,891,664
120,1/25/2024,2,Gift,763,22,669
121,1/11/2024,1,Gift,950,732,533
122,9/2/2024,2,Cash,86,977,667
123,3/13/2024,3,Cash,1218,89,611
124,8/31/2024,4,Debit Card,1901,386,728
125,5/28/2024,2,Cash,1752,403,792
126,1/17/2024,4,Debit Card,226,848,82
127,4/19/2024,4,AutopayMobile Payment,1101,741,272
128,12/28/2023,3,AutopayMobile Payment,108,127,907
129,6/3/2024,4,AutopayMobile Payment,790,899,470
130,10/8/2023,4,Gift,1816,549,512
131,,3,AutopayMobile Payment,1287,323,121
132,,5,Debit Card,610,402,307
133,5/15/2024,5,Gift,62,426,18
134,7/26/2024,5,,1808,744,659
135,12/16/2023,5,,674,504,115
136,5/17/2024,1,Credit Card,1104,608,281
137,9/18/2024,3,Credit Card,1088,199,784
138,3/29/2024,3,Gift,506,608,634
139,11/11/2023,5,Debit Card,731,444,581
140,12/29/2023,2,Gift,1096,10,984
141,3/17/2024,1,AutopayMobile Payment,1054,848,766
142,2/3/2024,5,Credit Card,1330,824,608
143,3/30/2024,3,Cash,1366,808,345
144,8/23/2024,2,Cash,677,41,319
145,,1,Debit Card,539,167,548
146,12/10/2023,2,Debit Card,1028,86,708
147,11/26/2023,2,Debit Card,818,383,601
148,12/15/2023,1,Debit Card,1351,514,37
149,1/1/2024,2,,1231,557,657
150,10/1/2023,1,Gift,1808,260,899
151,3/26/2024,1,AutopayMobile Payment,1451,509,722
152,3/4/2024,5,Debit Card,999,916,11
153,,5,Credit Card,137,110,506
154,9/13/2024,1,Gift,1251,398,10
155,10/30/2023,2,Credit Card,203,229,136
156,3/15/2024,3,Gift,575,901,171
157,1/21/2024,2,Cash,1087,433,566
158,10/4/2023,5,Credit Card,627,871,688
159,6/28/2024,1,Cash,1530,939,692
160,6/20/2024,4,AutopayMobile Payment,804,549,171
161,2/1/2024,3,Credit Card,1210,537,870
162,9/30/2023,2,AutopayMobile Payment,1921,91,624
163,9/23/2024,2,Credit Card,1065,218,37
164,4/15/2024,2,Debit Card,1417,630,807
165,3/26/2024,5,Cash,668,390,794
166,9/23/2024,2,Gift,1990,792,359
167,1/10/2024,4,Cash,1438,473,467
168,7/4/2024,4,Debit Card,1786,9,832
169,9/2/2024,5,AutopayMobile Payment,75,146,848
170,,5,Credit Card,1512,777,152
171,1/12/2024,2,Gift,670,387,133
172,1/8/2024,5,AutopayMobile Payment,1521,725,3
173,9/10/2024,2,Credit Card,1513,766,929
